SalesID,SalePrice,MachineID,ModelID,datasource,auctioneerID,YearMade,MachineHoursCurrentMeter,UsageBand,fiModelDesc,fiBaseModel,fiSecondaryDesc,fiModelSeries,fiModelDescriptor,ProductSize,fiProductClassDesc,state,ProductGroup,ProductGroupDesc,Drive_System,Enclosure,Forks,Pad_Type,Ride_Control,Stick,Transmission,Turbocharged,Blade_Extension,Blade_Width,Enclosure_Type,Engine_Horsepower,Hydraulics,Pushblock,Ripper,Scarifier,Tip_Control,Tire_Size,Coupler,Coupler_System,Grouser_Tracks,Hydraulics_Flow,Track_Type,Undercarriage_Pad_Width,Stick_Length,Thumb,Pattern_Changer,Grouser_Type,Backhoe_Mounting,Blade_Type,Travel_Controls,Differential_Type,Steering_Controls,saleYear,saleMonth,saleDay,saleDayOfWeek,saleDayOfYear
1449555,10500,1102310,3356,132,99,1966,,,12F,12,F,,,,Motorgrader - 45.0 to 130.0 Horsepower,Florida,MG,Motor Graders,No,OROPS,,,,,None or Unspecified,,None or Unspecified,None or Unspecified,None or Unspecified,No,Base + 1 Function,None or Unspecified,None or Unspecified,Yes,Sideshift & Tip,None or Unspecified,,,,,,,,,,,,,,,,1989,1,31,1,31
1453775,20000,1514650,7008,132,99,1974,,,225,225,,,,Large / Medium,"Hydraulic Excavator, Track - 24.0 to 28.0 Metric Tons",Florida,TEX,Track Excavators,,EROPS,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Steel,24 inch,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,,1989,1,31,1,31
1264985,20000,1204499,6788,132,99,1984,,,580,580,,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Florida,BL,Backhoe Loaders,Four Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Standard,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,1989,1,31,1,31
1475641,23500,1194367,7277,132,99,1973,,,950,950,,,,Medium,Wheel Loader - 150.0 to 175.0 Horsepower,Florida,WL,Wheel Loader,,EROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,20.5,None or Unspecified,,,,,,,,,,,,,Standard,Conventional,1989,1,31,1,31
1364654,14000,1270628,7289,132,99,1968,,,980,980,,,,Medium,Wheel Loader - 275.0 to 350.0 Horsepower,Florida,WL,Wheel Loader,,EROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,None or Unspecified,None or Unspecified,,,,,,,,,,,,,Standard,Conventional,1989,1,31,1,31
1474844,11250,1279993,7257,132,99,1979,,,910,910,,,,Compact,Wheel Loader - 60.0 to 80.0 Horsepower,Florida,WL,Wheel Loader,,OROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,None or Unspecified,None or Unspecified,,,,,,,,,,,,,Standard,Conventional,1989,1,31,1,31
1476264,29000,1245504,7277,132,99,1978,,,950,950,,,,Medium,Wheel Loader - 150.0 to 175.0 Horsepower,Florida,WL,Wheel Loader,,OROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,None or Unspecified,None or Unspecified,,,,,,,,,,,,,Standard,Conventional,1989,1,31,1,31
1475662,22000,1242833,7277,132,99,1973,,,950,950,,,,Medium,Wheel Loader - 150.0 to 175.0 Horsepower,Florida,WL,Wheel Loader,,EROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,20.5,None or Unspecified,,,,,,,,,,,,,Standard,Conventional,1989,1,31,1,31
1305337,17000,1517075,3356,132,99,1972,,,12F,12,F,,,,Motorgrader - 45.0 to 130.0 Horsepower,Florida,MG,Motor Graders,No,OROPS,,,,,None or Unspecified,,None or Unspecified,None or Unspecified,None or Unspecified,No,Base + 1 Function,None or Unspecified,None or Unspecified,Yes,None or Unspecified,"14""",,,,,,,,,,,,,,,,1989,1,31,1,31
1305336,17000,1236263,3356,132,99,1972,,,12F,12,F,,,,Motorgrader - 45.0 to 130.0 Horsepower,Florida,MG,Motor Graders,No,OROPS,,,,,None or Unspecified,,None or Unspecified,None or Unspecified,None or Unspecified,No,Base + 1 Function,None or Unspecified,None or Unspecified,Yes,None or Unspecified,"14""",,,,,,,,,,,,,,,,1989,1,31,1,31
1511962,17000,1136546,7464,132,99,1973,,,D5,D5,,,,,"Track Type Tractor, Dozer - 85.0 to 105.0 Horsepower",Florida,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,Straight,None or Unspecified,,,1989,1,31,1,31
1301582,24000,1199381,4123,132,18,1974,,,D6C,D6,C,,,Medium,"Track Type Tractor, Dozer - 130.0 to 160.0 Horsepower",Georgia,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,None or Unspecified,None or Unspecified,,,1989,1,31,1,31
1513611,85000,1275148,3371,132,99,1983,,,14G,14,G,,,,Motorgrader - 145.0 to 170.0 Horsepower,Florida,MG,Motor Graders,No,EROPS,,,,,None or Unspecified,,None or Unspecified,None or Unspecified,None or Unspecified,No,Base + 1 Function,Yes,Yes,None or Unspecified,Sideshift & Tip,None or Unspecified,,,,,,,,,,,,,,,,1989,1,31,1,31
1646995,10500,1044876,8443,132,99,1973,,,40,40,,,,Small,"Hydraulic Excavator, Track - 16.0 to 19.0 Metric Tons",Florida,TEX,Track Excavators,,EROPS,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Steel,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,Triple,,,,,,1989,1,31,1,31
1259973,7700,1150485,6788,132,18,1978,,,580,580,,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Georgia,BL,Backhoe Loaders,Two Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Standard,Powershuttle,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,1989,1,31,1,31
1391027,18000,1250405,7008,132,99,1974,,,225,225,,,,Large / Medium,"Hydraulic Excavator, Track - 24.0 to 28.0 Metric Tons",Florida,TEX,Track Excavators,,EROPS,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Steel,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,,1989,1,31,1,31
1340383,110000,1311130,3406,132,99,1987,,,225B,225,B,,,Large / Medium,"Hydraulic Excavator, Track - 24.0 to 28.0 Metric Tons",Florida,TEX,Track Excavators,,EROPS,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Steel,30 inch,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,,1989,1,31,1,31
1391932,41000,154142,7008,132,99,1981,,,225,225,,,,Large / Medium,"Hydraulic Excavator, Track - 24.0 to 28.0 Metric Tons",Florida,TEX,Track Excavators,,EROPS,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Steel,30 inch,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,,1989,1,31,1,31
1298915,49000,1338785,4124,132,99,1984,,,D6D,D6,D,,,Medium,"Track Type Tractor, Dozer - 130.0 to 160.0 Horsepower",Florida,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,Angle,None or Unspecified,,,1989,1,31,1,31
1647221,15000,1476216,8443,132,99,1979,,,40,40,,,,Small,"Hydraulic Excavator, Track - 16.0 to 19.0 Metric Tons",Florida,TEX,Track Excavators,,EROPS,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Steel,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,Triple,,,,,,1989,1,31,1,31
1421628,76000,1453580,3877,132,99,1979,,,980C,980,C,,,Medium,Wheel Loader - 275.0 to 350.0 Horsepower,Florida,WL,Wheel Loader,,EROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,None or Unspecified,None or Unspecified,,,,,,,,,,,,,Standard,Conventional,1989,1,31,1,31
1301225,21000,1246885,4123,132,18,1972,,,D6C,D6,C,,,Medium,"Track Type Tractor, Dozer - 130.0 to 160.0 Horsepower",Georgia,TTT,Track Type Tractors,,OROPS,,,,,Powershift,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,Straight,None or Unspecified,,,1989,1,31,1,31
1259760,8000,1476205,6788,132,99,1978,,,580,580,,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Florida,BL,Backhoe Loaders,Two Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Standard,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,1989,1,31,1,31
1369631,21000,1175092,4146,132,99,1972,,,D8H,D8,H,,,Large,"Track Type Tractor, Dozer - 260.0 + Horsepower",Florida,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,Straight,None or Unspecified,,,1989,1,31,1,31
1491351,50000,846943,4107,132,99,1987,,,D4H,D4,H,,,,"Track Type Tractor, Dozer - 85.0 to 105.0 Horsepower",Florida,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,PAT,None or Unspecified,,,1989,1,31,1,31
1415646,35000,1262088,3357,132,99,1975,,,12G,12,G,,,,Motorgrader - 130.0 to 145.0 Horsepower,Florida,MG,Motor Graders,No,OROPS,,,,,None or Unspecified,,None or Unspecified,12',None or Unspecified,No,Base + 1 Function,None or Unspecified,None or Unspecified,Yes,Sideshift & Tip,"14""",,,,,,,,,,,,,,,,1989,1,31,1,31
1460475,120000,1469147,4140,132,99,1987,,,D7H,D7,H,,,Large,"Track Type Tractor, Dozer - 190.0 to 260.0 Horsepower",Florida,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,Semi U,None or Unspecified,,,1989,1,31,1,31
1460065,13500,1092933,7428,132,99,1978,,,D3,D3,,,,,"Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",Florida,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,PAT,None or Unspecified,,,1989,1,31,1,31
1404057,34000,1394594,7110,132,99,1987,,,416,416,,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Florida,BL,Backhoe Loaders,Four Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Standard,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,1989,1,31,1,31
1369391,19000,1198102,4146,132,99,1971,,,D8H,D8,H,,,Large,"Track Type Tractor, Dozer - 260.0 + Horsepower",Florida,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,Straight,None or Unspecified,,,1989,1,31,1,31
1460341,120000,458891,4140,132,99,1986,,,D7H,D7,H,,,Large,"Track Type Tractor, Dozer - 190.0 to 260.0 Horsepower",Florida,TTT,Track Type Tractors,,EROPS w AC,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,Semi U,None or Unspecified,,,1989,1,31,1,31
1415950,40000,1142272,3357,132,99,1978,,,12G,12,G,,,,Motorgrader - 130.0 to 145.0 Horsepower,Florida,MG,Motor Graders,No,OROPS,,,,,None or Unspecified,,None or Unspecified,None or Unspecified,None or Unspecified,No,Base + 1 Function,None or Unspecified,None or Unspecified,Yes,Tip,None or Unspecified,,,,,,,,,,,,,,,,1989,1,31,1,31
1493165,57000,1440461,2759,132,99,1986,,,D5HII,D5,H,II,,Medium,"Track Type Tractor, Dozer - 130.0 to 160.0 Horsepower",Florida,TTT,Track Type Tractors,,EROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,PAT,None or Unspecified,,,1989,1,31,1,31
1329607,26500,1089631,4089,132,99,1987,,,D3B,D3,B,,,,"Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",Florida,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,PAT,None or Unspecified,,,1989,1,31,1,31
1508793,28000,1255973,4138,132,99,1973,,,D7F,D7,F,,,Large,"Track Type Tractor, Dozer - 190.0 to 260.0 Horsepower",Florida,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,None or Unspecified,None or Unspecified,,,1989,1,31,1,31
1329619,27500,436674,4089,132,99,1987,,,D3B,D3,B,,,,"Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",Florida,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,None or Unspecified,None or Unspecified,,,1989,1,31,1,31
1329620,26500,1253848,4089,132,99,1987,,,D3B,D3,B,,,,"Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",Florida,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,PAT,None or Unspecified,,,1989,1,31,1,31
1475263,20000,1441275,7277,132,99,1970,,,950,950,,,,Medium,Wheel Loader - 150.0 to 175.0 Horsepower,Florida,WL,Wheel Loader,,EROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,20.5,None or Unspecified,,,,,,,,,,,,,Standard,Conventional,1989,1,31,1,31
1344379,70000,1374638,3819,132,99,1982,,,950B,950,B,,,Medium,Wheel Loader - 150.0 to 175.0 Horsepower,Florida,WL,Wheel Loader,,EROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,None or Unspecified,None or Unspecified,,,,,,,,,,,,,Standard,Conventional,1989,1,31,1,31
1502329,35000,1300019,4155,132,99,1977,,,D9H,D9,H,,,Large,"Track Type Tractor, Dozer - 260.0 + Horsepower",Florida,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,Semi U,None or Unspecified,,,1989,1,31,1,31
1475526,23500,1111869,7277,132,99,1972,,,950,950,,,,Medium,Wheel Loader - 150.0 to 175.0 Horsepower,Florida,WL,Wheel Loader,,OROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,20.5,None or Unspecified,,,,,,,,,,,,,Standard,Conventional,1989,1,31,1,31
1297898,35000,1537483,4124,132,99,1978,,,D6D,D6,D,,,Medium,"Track Type Tractor, Dozer - 130.0 to 160.0 Horsepower",Florida,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,Angle,None or Unspecified,,,1989,1,31,1,31
1740836,10000,1531656,11933,132,99,1975,,,D65,D65,,,,Large,"Track Type Tractor, Dozer - 190.0 to 260.0 Horsepower",Florida,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,Single Shank,,,,,,,,,,,,,,None or Unspecified,Straight,None or Unspecified,,,1989,1,31,1,31
1265202,21000,1385055,6788,132,99,1984,,,580,580,,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Florida,BL,Backhoe Loaders,Two Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Standard,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,1989,1,31,1,31
1452025,17500,1145615,3854,132,99,1971,,,966C,966,C,,,Medium,Wheel Loader - 150.0 to 175.0 Horsepower,Florida,WL,Wheel Loader,,OROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,None or Unspecified,None or Unspecified,,,,,,,,,,,,,Standard,Conventional,1989,1,31,1,31
1475043,18500,1420590,7277,132,99,1968,,,950,950,,,,Medium,Wheel Loader - 150.0 to 175.0 Horsepower,Florida,WL,Wheel Loader,,OROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,20.5,None or Unspecified,,,,,,,,,,,,,Standard,Conventional,1989,1,31,1,31
1740272,10000,1090529,8988,132,18,1979,,,D31,D31,,,,,"Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",Georgia,TTT,Track Type Tractors,,OROPS,,,,,Powershift,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,PAT,None or Unspecified,,,1989,1,31,1,31
1403992,26250,561595,7110,132,99,1986,,,416,416,,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Florida,BL,Backhoe Loaders,Two Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Extended,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,1989,1,31,1,31
1515985,16000,1078132,3369,132,99,1967,,,14E,14,E,,,,Motorgrader - 145.0 to 170.0 Horsepower,Florida,MG,Motor Graders,No,OROPS,,,,,None or Unspecified,,None or Unspecified,None or Unspecified,None or Unspecified,No,Base + 1 Function,None or Unspecified,None or Unspecified,None or Unspecified,Sideshift & Tip,None or Unspecified,,,,,,,,,,,,,,,,1989,1,31,1,31
1403368,21500,1165291,7110,132,99,1985,,,416,416,,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Florida,BL,Backhoe Loaders,Two Wheel Drive,EROPS,None or Unspecified,None or Unspecified,No,Standard,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,1989,1,31,1,31
1380692,79000,1269911,4128,132,99,1986,,,D6H,D6,H,,,Medium,"Track Type Tractor, Dozer - 160.0 to 190.0 Horsepower",Florida,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,Semi U,None or Unspecified,,,1989,1,31,1,31
1403696,23500,888616,7110,132,99,1986,,,416,416,,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Florida,BL,Backhoe Loaders,Two Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Standard,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,1989,1,31,1,31
1338469,50000,1505032,23944,132,99,1984,,,215B,215,B,,,Small,"Hydraulic Excavator, Track - 16.0 to 19.0 Metric Tons",Florida,TEX,Track Excavators,,EROPS,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Steel,28 inch,None or Unspecified,None or Unspecified,None or Unspecified,Triple,,,,,,1989,1,31,1,31
1504404,26000,1310407,4139,132,99,1975,,,D7G,D7,G,,,Large,"Track Type Tractor, Dozer - 190.0 to 260.0 Horsepower",Florida,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,Angle,None or Unspecified,,,1989,1,31,1,31
1263797,17000,1526902,6953,132,99,1983,,,W20,W20,,,,,Wheel Loader - 100.0 to 110.0 Horsepower,Florida,WL,Wheel Loader,,OROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,None or Unspecified,None or Unspecified,,,,,,,,,,,,,Standard,Conventional,1989,1,31,1,31
1403411,23000,1184544,7110,132,99,1986,,,416,416,,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Florida,BL,Backhoe Loaders,Two Wheel Drive,EROPS,None or Unspecified,None or Unspecified,No,Standard,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,1989,1,31,1,31
1491298,46000,1322436,4107,132,99,1987,,,D4H,D4,H,,,,"Track Type Tractor, Dozer - 85.0 to 105.0 Horsepower",Florida,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,PAT,None or Unspecified,,,1989,1,31,1,31
1453054,36000,1117184,3854,132,99,1977,,,966C,966,C,,,Medium,Wheel Loader - 150.0 to 175.0 Horsepower,Florida,WL,Wheel Loader,,EROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,23.5,None or Unspecified,,,,,,,,,,,,,Standard,Conventional,1989,1,31,1,31
1403418,24000,1390168,7110,132,99,1986,,,416,416,,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Florida,BL,Backhoe Loaders,Two Wheel Drive,EROPS,None or Unspecified,None or Unspecified,No,Extended,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,1989,1,31,1,31
1452578,33000,1544443,3854,132,99,1974,,,966C,966,C,,,Medium,Wheel Loader - 150.0 to 175.0 Horsepower,Florida,WL,Wheel Loader,,EROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,23.5,None or Unspecified,,,,,,,,,,,,,Standard,Conventional,1989,1,31,1,31
1508502,21000,1153157,4138,132,99,1972,,,D7F,D7,F,,,Large,"Track Type Tractor, Dozer - 190.0 to 260.0 Horsepower",Florida,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,Angle,None or Unspecified,,,1989,1,31,1,31
1728883,30000,1523610,9105,132,99,1986,,,WA150,WA150,,,,,Wheel Loader - 90.0 to 100.0 Horsepower,Florida,WL,Wheel Loader,,EROPS,,,,,,,,,,,,,,,,26.5,,,,,,,,,,,,,,,,1989,1,31,1,31
1476008,23000,1492205,7277,132,99,1975,,,950,950,,,,Medium,Wheel Loader - 150.0 to 175.0 Horsepower,Florida,WL,Wheel Loader,,OROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,None or Unspecified,None or Unspecified,,,,,,,,,,,,,Standard,Conventional,1989,1,31,1,31
1531383,72000,1315503,1035,132,99,1986,,,215CLC,215,C,,LC,Small,"Hydraulic Excavator, Track - 16.0 to 19.0 Metric Tons",Florida,TEX,Track Excavators,,EROPS,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Steel,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,,1989,1,31,1,31
1858203,12500,1340159,10727,132,18,1979,,,510,510,,,,Compact,Wheel Loader - 60.0 to 80.0 Horsepower,Georgia,WL,Wheel Loader,,OROPS,Yes,,None or Unspecified,,,,,,,,2 Valve,,,,,None or Unspecified,None or Unspecified,,,,,,,,,,,,,Standard,Conventional,1989,1,31,1,31
1380746,81000,805541,4128,132,99,1987,,,D6H,D6,H,,,Medium,"Track Type Tractor, Dozer - 160.0 to 190.0 Horsepower",Florida,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,Semi U,None or Unspecified,,,1989,1,31,1,31
1596358,19000,1433229,8247,132,99,1978,,,644,644,,,,Medium,Wheel Loader - 175.0 to 200.0 Horsepower,Florida,WL,Wheel Loader,,OROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,None or Unspecified,None or Unspecified,,,,,,,,,,,,,Standard,Conventional,1989,1,31,1,31
1363540,22500,1413842,7267,132,99,1976,,,930,930,,,,,Wheel Loader - 100.0 to 110.0 Horsepower,Florida,WL,Wheel Loader,,EROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,None or Unspecified,None or Unspecified,,,,,,,,,,,,,Standard,Conventional,1989,1,31,1,31
1477524,10000,1078853,4103,132,99,1972,,,D4D,D4,D,,,,"Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",Florida,TTT,Track Type Tractors,,OROPS,,,,,Powershift,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,Angle,None or Unspecified,,,1989,1,31,1,31
